iteracion,vault_final_usd,supply_final,precio_luka_final,precio_kash_final,dia_activacion_b2,espiral_muerte,ruina_total,r_op_final
1,173604320.31,3791069719.0,0.04579296,0.04579296,347,0,0,1884038.02
2,136938918.9,3300000000.0,0.04149664,0.04149664,412,0,0,1989363.66
3,389907406.97,3300000000.0,0.11815376,0.11815376,484,0,0,1914616.09
4,101733723.86,3300000000.0,0.0308284,0.0308284,625,0,0,1903228.78
5,197749756.02,3300000000.0,0.05992417,0.05992417,412,0,0,2023711.6
6,128207227.76,3300000000.0,0.03885068,0.03885068,491,0,0,1937872.49
7,262227575.95,3300000000.0,0.0794629,0.0794629,513,0,0,1826175.02
8,202419541.56,3300000000.0,0.06133926,0.06133926,561,0,0,1825872.52
9,247859578.86,3300000000.0,0.07510896,0.07510896,487,0,0,1932446.85
10,386058894.6,3300000000.0,0.11698754,0.11698754,455,0,0,2007937.47
11,134982992.41,3300000000.0,0.04090394,0.04090394,568,0,0,1849815.13
12,166635601.43,3300000000.0,0.05049564,0.05049564,416,0,0,2079789.33
13,337643129.01,4027208090.0,0.0838405,0.0838405,412,0,0,2476194.56
14,178098699.92,3300000000.0,0.0539693,0.0539693,618,0,0,1825422.79
15,126135543.63,3300000000.0,0.03822289,0.03822289,507,0,0,1963373.2
16,611112679.41,3300000000.0,0.18518566,0.18518566,450,0,0,2023084.68
17,367958810.04,3300000000.0,0.11150267,0.11150267,482,0,0,1854363.21
18,116325392.43,3300000000.0,0.03525012,0.03525012,556,0,0,1783225.0
19,196383209.64,3300000000.0,0.05951006,0.05951006,455,0,0,1904700.69
20,403963500.65,3300000000.0,0.12241318,0.12241318,454,0,0,2077445.99
21,111275415.27,3300000000.0,0.03371982,0.03371982,530,0,0,1883770.1
22,773673968.75,3300000000.0,0.23444666,0.23444666,492,0,0,2402193.85
23,250269328.73,3300000000.0,0.07583919,0.07583919,396,0,0,1950723.4
24,114045374.6,3300000000.0,0.0345592,0.0345592,542,0,0,1883233.57
25,181846004.91,3300000000.0,0.05510485,0.05510485,507,0,0,1875051.68
26,222967797.73,3300000000.0,0.067566,0.067566,490,0,0,1973395.66
27,108983572.31,3300000000.0,0.03302532,0.03302532,438,0,0,1841549.53
28,102672350.94,3300000000.0,0.03111283,0.03111283,639,0,0,1931541.08
29,149826019.79,3300000000.0,0.04540182,0.04540182,491,0,0,1876088.68
30,120574536.62,3300000000.0,0.03653774,0.03653774,639,0,0,1885638.23
31,167524661.75,3300000000.0,0.05076505,0.05076505,456,0,0,1958386.69
32,113459056.64,3300000000.0,0.03438153,0.03438153,491,0,0,1953466.74
33,362942992.82,3300000000.0,0.10998273,0.10998273,473,0,0,1868995.22
34,329064145.29,3300000000.0,0.09971641,0.09971641,548,0,0,1876551.89
35,118339782.56,3300000000.0,0.03586054,0.03586054,509,0,0,1831324.69
36,92904452.85,3300000000.0,0.02815286,0.02815286,455,0,0,1745622.45
