day,stage,motor_b,throttle,throttle_name,price,ema30,p_kash,price_over_pkash,supply,tokens_burned_total,vault_core_usd,vault_sociedad_usd,r_op_usd,burned_total_usd,recirculated_total_usd,staking_total_usd,om_total_usd,deferred_queue_usd,fee_total_usd,users,buy_pressure,sell_pressure,lp_depth_usd,burn_cap_hit,jaguar_lock_hit
1,1,0,1,NORMAL,0.0001182,0.00010117419354838712,4.900164452e-06,24.1216394179907,9915397631.13367,84602368.8663292,49001.64452,21004.027397,0.704794,70000.0,0.0,30000.0,30000.0,0.0,200000.0,0.0,100000.0,4000.0,300000.0,True,False
2,1,0,0,ACELERADO,0.0001396175248,0.00010365440846784602,9.884115318509386e-06,14.125444746536566,9831454014.33636,168545985.66363907,98004.933615,42012.082963,2.114406,140000.0,0.0,60000.0,60000.0,0.0,200000.0,0.0,100000.0,4688.0,300000.0,True,False
3,1,0,0,ACELERADO,0.0001647851191659358,0.00010759832528707762,1.4953013778697251e-05,11.020194430683683,9748155031.903097,251844968.09690285,147009.867341,63024.167472,4.22886,210000.0,0.0,90000.0,90000.0,0.0,200000.0,0.0,100000.0,5490.573098666666,300000.0,True,False
4,1,0,0,ACELERADO,0.0001943097287047912,0.00011319260937854301,2.0108055843643306e-05,9.663277753737574,9665485425.018892,334514574.9811077,196016.445754,84040.281695,7.048179,280000.0,0.0,120000.0,120000.0,0.0,200000.0,0.0,100000.0,6425.403554320675,300000.0,True,False
5,1,0,0,ACELERADO,0.00022887785887168403,0.00012065617386197147,2.5350477304922433e-05,9.028542386744002,9583428652.031145,416571347.9688549,245024.668908,105060.426406,10.572387,350000.0,0.0,150000.0,150000.0,0.0,200000.0,0.0,100000.0,7512.391402942138,300000.0,True,False
6,1,0,0,ACELERADO,0.0002692589256259522,0.00013024344816932508,3.0681559547759696e-05,8.775920441945493,9501966742.256851,498033257.7431488,294034.536859,126084.602378,14.801508,420000.0,0.0,180000.0,180000.0,0.0,200000.0,0.0,100000.0,8773.73852210575,300000.0,True,False
7,1,0,0,ACELERADO,0.000316305743297983,0.00014224746720988365,3.61026363242692e-05,8.761292124402381,9421080150.389206,578919849.6107941,343046.049661,147112.810383,19.735566,490000.0,0.0,210000.0,210000.0,0.0,200000.0,0.0,100000.0,10233.957425414435,300000.0,True,False
8,1,0,0,ACELERADO,0.00037095080947835944,0.00015700252154978532,4.161510157132069e-05,8.913850873164815,9340747618.864899,659252381.1351013,392059.20737,168145.051195,25.374584,560000.0,0.0,240000.0,240000.0,0.0,200000.0,0.0,100000.0,11919.767038554926,300000.0,True,False
9,1,0,0,ACELERADO,0.00043419675888789396,0.0001748860207328891,4.7220418326065416e-05,9.195106148566662,9260946058.41047,739053941.589531,441074.010041,189181.325588,31.718586,630000.0,0.0,270000.0,270000.0,0.0,200000.0,0.0,100000.0,13859.831561403971,300000.0,True,False
10,1,0,0,ACELERADO,0.0005070991156629586,0.0001963191236316033,5.292012874698875e-05,9.582348487612352,9181650460.398226,818349539.6017742,490090.45773,210221.634335,38.767595,700000.0,0.0,300000.0,300000.0,0.0,200000.0,0.0,100000.0,16084.29105118977,300000.0,True,False
11,1,0,0,ACELERADO,0.0005907393515081668,0.0002217655899462203,5.871586517219887e-05,10.060983514007276,9102833858.509296,897166141.4907036,539108.550491,231265.97821,46.521635,770000.0,0.0,330000.0,330000.0,0.0,200000.0,0.0,100000.0,18624.027315177347,300000.0,True,False
12,1,0,0,ACELERADO,0.000686186362791796,0.0002517282204523865,6.460936204281262e-05,10.62054075595272,9024467361.271082,975532638.7289181,588128.28838,252314.357986,54.98073,840000.0,0.0,360000.0,360000.0,0.0,200000.0,0.0,100000.0,21509.608681849466,300000.0,True,False
13,1,0,0,ACELERADO,0.0007944449490882204,0.0002867422029450209,7.060246837241134e-05,11.252367904443666,8946520280.836233,1053479719.1637669,637149.671452,273366.774438,64.144903,910000.0,0.0,390000.0,390000.0,0.0,200000.0,0.0,100000.0,24769.865739055527,300000.0,True,False
14,1,0,0,ACELERADO,0.000916390858524695,0.00032736469685338697,7.669716026149368e-05,11.948171945353955,8870133661.143526,1129866338.856474,686172.699762,294423.228339,74.014178,980000.0,0.0,420000.0,420000.0,0.0,200000.0,0.0,100000.0,28430.07139610269,300000.0,False,False
15,1,0,0,ACELERADO,0.0010526889908097521,0.0003741598125925073,8.288458792753066e-05,12.700660244943977,8803637287.940123,1196362712.0598774,735197.373366,315483.720464,84.588579,1050000.0,0.0,450000.0,450000.0,0.0,200000.0,0.0,100000.0,32514.03760385645,300000.0,False,False
16,1,0,0,ACELERADO,0.0012036639304344964,0.00042767620729199053,8.907950960136533e-05,13.51224244296971,8745481520.179655,1254518479.820345,784223.692318,336548.251588,95.86813,1120000.0,0.0,480000.0,480000.0,0.0,200000.0,0.0,100000.0,37069.96820838717,300000.0,False,False
17,1,0,0,ACELERADO,0.0013692188006584787,0.0004884208907349898,9.527796208262788e-05,14.37078177082599,8694357477.794073,1305642522.205927,833251.656674,357616.822485,107.852854,1190000.0,0.0,510000.0,510000.0,0.0,200000.0,0.0,100000.0,42106.48264048679,300000.0,False,False
18,1,0,0,ACELERADO,0.0015487404148301605,0.0005568286019669364,0.0001014774546299023,15.261916259907785,8649159457.951815,1350840542.0481853,882281.266489,378689.43393,120.542774,1260000.0,0.0,540000.0,540000.0,0.0,200000.0,0.0,100000.0,47617.910872965105,300000.0,False,False
19,1,0,0,ACELERADO,0.0017410246737445288,0.0006332283485332327,0.00010767665070179452,16.16900843773657,8608953250.046991,1391046749.9530087,931312.521818,399766.086698,133.937915,1330000.0,0.0,570000.0,570000.0,0.0,200000.0,0.0,100000.0,53581.211227362,300000.0,False,False
20,1,0,0,ACELERADO,0.0019442384662932439,0.0007178096464532334,0.0001138751012164747,17.073429094892994,8572949436.104632,1427050563.8953676,980345.422717,420846.781563,148.0383,1400000.0,0.0,600000.0,600000.0,0.0,200000.0,0.0,100000.0,59953.60009377985,300000.0,False,False
21,1,0,0,ACELERADO,0.0021559336229472065,0.0008105918384851027,0.00012007302468212487,17.955187092643946,8540480904.024174,1459519095.9758263,1029379.96924,441931.519301,162.843953,1470000.0,0.0,630000.0,630000.0,0.0,200000.0,0.0,100000.0,66671.4322530464,300000.0,False,False
22,1,0,0,ACELERADO,0.0023731238571632566,0.0009114003558191772,0.00012627112847191815,18.793875416192414,8510983918.526049,1489016081.4739513,1078416.161444,463020.300688,178.354897,1540000.0,0.0,660000.0,660000.0,0.0,200000.0,0.0,100000.0,73650.83974849709,300000.0,False,False
23,1,0,0,ACELERADO,0.0025924268703016225,0.0010198536793341738,0.00013247046524536907,19.569848007250425,8483982192.536433,1516017807.4635668,1127453.999383,484113.126499,194.571156,1610000.0,0.0,690000.0,690000.0,0.0,200000.0,0.0,100000.0,80790.47593994794,300000.0,False,False
24,1,0,0,ACELERADO,0.0028102620643895423,0.0011353638977248427,0.00013867231877820184,20.26548693459428,8459073483.527758,1540926516.4722424,1176493.483112,505209.997509,211.492754,1680000.0,0.0,720000.0,720000.0,0.0,200000.0,0.0,100000.0,87976.41361236769,300000.0,False,False
25,1,0,0,ACELERADO,0.003023082286559387,0.0012571521808754586,0.000144878114024363,20.866383490131707,8435918308.324218,1564081691.6757822,1225534.612687,526310.914494,229.119714,1750000.0,0.0,750000.0,750000.0,0.0,200000.0,0.0,100000.0,95088.85324256621,300000.0,False,False
26,1,0,0,ACELERADO,0.0032276092684044113,0.001384278444587004,0.00015108934695411873,21.362255734578948,8414230429.098798,1585769570.9012022,1274577.388163,547415.878231,247.45206,1820000.0,0.0,780000.0,780000.0,0.0,200000.0,0.0,100000.0,102009.90083502789,300000.0,False,False
27,1,0,0,ACELERADO,0.0034210400277720444,0.0015156824176957163,0.00015730753046856667,21.747465093259727,8393768815.252792,1606231184.7472076,1323621.809595,568524.889495,266.489816,1890000.0,0.0,810000.0,810000.0,0.0,200000.0,0.0,100000.0,108631.39247779883,300000.0,False,False
28,1,0,0,ACELERADO,0.0036011967082177107,0.0016502317267616516,0.00016353415340003734,22.02106797476403,8374330832.362198,1625669167.6378021,1372667.877038,589637.949062,286.233006,1960000.0,0.0,840000.0,840000.0,0.0,200000.0,0.0,100000.0,114861.67640337814,300000.0,False,False
29,1,0,0,ACELERADO,0.003766603782257598,0.0017867718593742934,0.00016977065021766858,22.186424905767343,8355746451.299945,1644253548.7000551,1421715.590548,610755.057709,306.681653,2030000.0,0.0,870000.0,870000.0,0.0,200000.0,0.0,100000.0,120630.4505081153,300000.0,False,False
30,1,0,0,ACELERADO,0.0039164907493241235,0.0019241730780807343,0.00017601837953701738,22.250464750474933,8337873308.101004,1662126691.8989964,1470764.95018,631876.216213,327.835781,2100000.0,0.0,900000.0,900000.0,0.0,200000.0,0.0,100000.0,125891.1447482075,300000.0,False,False
31,1,0,0,ACELERADO,0.00405073127458731,0.0020613703810811587,0.0001822786098839329,22.222746142109813,8320592477.738557,1679407522.2614431,1519815.955989,653001.42535,349.695413,2170000.0,0.0,930000.0,930000.0,0.0,200000.0,0.0,100000.0,130620.81472085643,300000.0,False,False
32,1,0,0,ACELERADO,0.004169738007893931,0.002197394098940047,0.00018855251140209678,22.114465497634107,8303804852.264851,1696195147.7351494,1568868.608031,674130.685897,372.260573,2240000.0,0.0,960000.0,960000.0,0.0,200000.0,0.0,100000.0,134817.93669068592,300000.0,False,False
33,1,0,0,ACELERADO,0.004274334954807408,0.0023313902831895547,0.00019484115235664695,21.937536824784594,8287428035.581059,1712571964.4189405,1617922.90636,695263.998631,395.531285,2310000.0,0.0,990000.0,990000.0,0.0,200000.0,0.0,100000.0,138498.7628104912,300000.0,False,False
34,1,0,0,ACELERADO,0.004365627046048865,0.002462631364664349,0.00020114549940886727,21.703826627385187,8271393683.754475,1728606316.2455254,1666978.851032,716401.364329,419.507573,2380000.0,0.0,1020000.0,1020000.0,0.0,200000.0,0.0,100000.0,141692.97335174007,300000.0,False,False
35,1,0,0,ACELERADO,0.004444881396674777,0.0025905184635037315,0.00020746642074024368,21.424582256807465,8255645232.051722,1744354767.9482784,1716036.442102,737542.783768,444.18946,2450000.0,0.0,1050000.0,1050000.0,0.0,200000.0,0.0,100000.0,144439.27989726514,300000.0,False,False
36,1,0,0,ACELERADO,0.004513428735588314,0.0027145771907349948,0.0002138046912156777,21.110054741667696,8240135958.703048,1759864041.2969522,1765095.679625,758688.257726,469.57697,2520000.0,0.0,1080000.0,1080000.0,0.0,200000.0,0.0,100000.0,146781.45563797408,300000.0,False,False
37,1,0,0,ACELERADO,0.004572588156866503,0.0028344488659692857,0.00022016099889006423,20.769292381116927,8224827341.876299,1775172658.123701,1814156.563658,779837.78698,495.670127,2590000.0,0.0,1110000.0,1110000.0,0.0,200000.0,0.0,100000.0,148765.0656846596,300000.0,False,False
