day,stage,motor_b,throttle,throttle_name,price,ema30,p_kash,price_over_pkash,supply,tokens_burned_total,vault_core_usd,vault_sociedad_usd,r_op_usd,burned_total_usd,recirculated_total_usd,staking_total_usd,om_total_usd,deferred_queue_usd,fee_total_usd,users,buy_pressure,sell_pressure,lp_depth_usd,burn_cap_hit,kash_lock_hit
1,1,0,0,ACELERADO,0.00013000000000000002,0.00010193548387096775,1.25444209972e-05,10.36317260310515,9923076923.076923,76923076.92307663,125444.209972,53770.310136,1.804273,179200.0,0.0,76800.0,76800.0,0.0,512000.0,0.0,256000.0,4000.0,300000.0,True,False
2,1,0,0,ACELERADO,0.00016900000000000002,0.00010626222684703435,2.52837534165969e-05,6.684134163761623,9846745562.130178,153254437.86982155,250892.630057,107550.932387,5.412881,358400.0,0.0,153600.0,153600.0,0.0,512000.0,0.0,256000.0,5160.000000000001,300000.0,True,False
3,1,0,0,ACELERADO,0.00021970000000000003,0.0001135807928569031,3.822026861802896e-05,5.748258919780718,9771001365.498407,228998634.50159264,376345.260398,161341.86873,10.825884,537600.0,0.0,230400.0,230400.0,0.0,512000.0,0.0,256000.0,6656.4000000000015,300000.0,True,False
4,1,0,0,ACELERADO,0.00028561000000000005,0.0001246794513822642,5.135626148890663e-05,5.561347179870055,9695839816.533035,304160183.4669647,501802.101135,215143.121143,18.043343,716800.0,0.0,307200.0,307200.0,0.0,512000.0,0.0,256000.0,8586.756000000001,300000.0,True,False
5,1,0,0,ACELERADO,0.0003712930000000001,0.0001405900029059891,6.46940506731981e-05,5.739213979282053,9621256433.328936,378743566.6710644,627263.15241,268954.691604,27.065318,896000.0,0.0,384000.0,384000.0,0.0,512000.0,0.0,256000.0,11076.915240000002,300000.0,True,False
6,1,0,0,ACELERADO,0.0004826809000000001,0.00016266038336366722,7.823597880173717e-05,6.169551495267834,9547246768.457174,452753231.5428257,752728.414364,322776.582092,37.89187,1075200.0,0.0,460800.0,460800.0,0.0,512000.0,0.0,256000.0,14289.220659600005,300000.0,True,False
7,1,0,0,ACELERADO,0.0006274851700000002,0.0001926490792756887,9.198441272518987e-05,6.821646748723154,9473806408.699812,526193591.30018806,878197.887139,376608.794587,50.523059,1254400.0,0.0,537600.0,537600.0,0.0,512000.0,0.0,256000.0,18433.094650884006,300000.0,True,False
8,1,0,0,ACELERADO,0.0008157307210000002,0.00023284789487080558,0.00010594174374867179,7.699804554238585,9400930974.786736,599069025.2132645,1003671.570875,430451.331068,64.958946,1433600.0,0.0,614400.0,614400.0,0.0,512000.0,0.0,256000.0,23778.69209964037,300000.0,True,False
9,1,0,0,ACELERADO,0.0010604499373000004,0.00028624157502752783,0.00012011038786939027,8.82896105916458,9328616121.13453,671383878.8654709,1129149.465715,484304.193515,81.199591,1612800.0,0.0,691200.0,691200.0,0.0,512000.0,0.0,256000.0,30674.512808536078,300000.0,True,False
10,1,0,0,ACELERADO,0.0013785849184900006,0.00035671533912188093,0.0001344927860153403,10.250251774342445,9256857535.587341,743142464.4126587,1254631.571799,538167.383908,99.245055,1792000.0,0.0,768000.0,768000.0,0.0,512000.0,0.0,256000.0,39570.121523011534,300000.0,True,False
11,1,0,0,ACELERADO,0.0017921603940370008,0.0004493246975035016,0.0001490914042873873,12.020548083258026,9185650939.159746,814349060.8402538,1380117.889269,592040.904228,119.095399,1971200.0,0.0,844800.0,844800.0,0.0,512000.0,0.0,256000.0,51045.456764684895,300000.0,True,False
