day,stage,motor_b,throttle,throttle_name,price,ema30,p_kash,price_over_pkash,supply,tokens_burned_total,vault_core_usd,vault_sociedad_usd,r_op_usd,burned_total_usd,recirculated_total_usd,staking_total_usd,om_total_usd,deferred_queue_usd,fee_total_usd,users,buy_pressure,sell_pressure,lp_depth_usd,burn_cap_hit,kash_lock_hit
1,1,0,1,NORMAL,0.00010442050000000001,0.00010028519354838711,1.6170542691e-06,64.57451799568673,9904233364.138268,95766635.86173248,16170.542691,6931.329041,0.232581,23100.0,0.0,9900.0,9900.0,0.0,66000.0,0.0,33000.0,6000.0,300000.0,True,False
2,1,0,1,NORMAL,0.00010901140628008251,0.00010084817501494811,3.2654347795463047e-06,33.383427824955184,9809362099.259542,190637900.74045753,32341.628092,13863.987378,0.697752,46200.0,0.0,19800.0,19800.0,0.0,66000.0,0.0,33000.0,6205.2300000000005,300000.0,True,False
3,1,0,1,NORMAL,0.0001137773493704175,0.00010168231529594614,4.945607648091818e-06,23.005737103774628,9715377456.176544,284622543.8234558,48513.256221,20797.975265,1.395521,69300.0,0.0,29700.0,29700.0,0.0,66000.0,0.0,33000.0,6415.99414290495,300000.0,True,False
4,1,0,1,NORMAL,0.00011872294021893495,0.00010278171045226801,6.65804570010569e-06,17.83149974729827,9622270774.93546,377729225.06454086,64685.427097,27733.292958,2.325896,92400.0,0.0,39600.0,39600.0,0.0,66000.0,0.0,33000.0,6632.3393705812605,300000.0,True,False
5,1,0,1,NORMAL,0.00012385275783045128,0.00010414113286376371,8.403228575589773e-06,14.738711046159873,9530033484.624416,469966515.37558365,80858.140738,34669.940712,3.488885,115500.0,0.0,49500.0,49500.0,0.0,66000.0,0.0,33000.0,6854.305667898404,300000.0,True,False
6,1,0,0,ACELERADO,0.00012917133627963893,0.000105755984697046,1.0181642836570165e-05,12.686689010115796,9438657103.200907,561342896.7990932,97031.397161,41607.918782,4.884495,138600.0,0.0,59400.0,59400.0,0.0,66000.0,0.0,33000.0,7081.925575723679,300000.0,True,False
7,1,0,0,ACELERADO,0.00013468315112926727,0.0001076222534991248,1.1993782075906649e-05,11.22941456472029,9348133237.336231,651866762.6637688,113205.196385,48547.227423,6.512734,161700.0,0.0,69300.0,69300.0,0.0,66000.0,0.0,33000.0,7315.223704234601,300000.0,True,False
8,1,0,0,ACELERADO,0.00014039260529258359,0.00010973646974386408,1.3840147026602174e-05,10.143866609417854,9258453582.274855,741546417.7251453,129379.538429,55487.866891,8.37361,184800.0,0.0,79200.0,79200.0,0.0,66000.0,0.0,33000.0,7554.216249484093,300000.0,True,False
9,1,0,0,ACELERADO,0.00014630401438644626,0.00011209566617241777,1.5721245672026848e-05,9.30613371475825,9169609921.706343,830390078.2936573,145554.42331,62429.83744,10.46713,207900.0,0.0,89100.0,89100.0,0.0,66000.0,0.0,33000.0,7798.910516376121,300000.0,True,False
10,1,0,0,ACELERADO,0.00015242159162979913,0.0001146973387825714,1.7637593357614084e-05,8.64185881482517,9081594127.647337,918405872.352663,161729.851047,69373.139326,12.793303,231000.0,0.0,99000.0,99000.0,0.0,66000.0,0.0,33000.0,8049.304451420551,300000.0,True,False
11,1,0,0,ACELERADO,0.0001587494323502009,0.0001175394093353217,1.9589712902429386e-05,8.103714084064697,8994398160.330853,1005601839.6691475,177905.821657,76317.772804,15.352136,254100.0,0.0,108900.0,108900.0,0.0,66000.0,0.0,33000.0,8305.386188831066,300000.0,True,False
12,1,0,0,ACELERADO,0.00016529149816930824,0.00012062018926009503,2.1578134712335307e-05,7.660138393464477,8908014068.099947,1091985931.900053,194082.33516,83263.73813,18.143637,277200.0,0.0,118800.0,118800.0,0.0,66000.0,0.0,33000.0,8567.133613705286,300000.0,True,False
13,1,0,0,ACELERADO,0.0001720516009463462,0.0001239383448527564,2.360339689246222e-05,7.289272884331795,8822433987.302635,1177566012.6973648,210259.391573,90211.035559,21.167814,300300.0,0.0,128700.0,128700.0,0.0,66000.0,0.0,33000.0,8834.513946177087,300000.0,True,False
14,1,0,0,ACELERADO,0.00017903338656657318,0.00012749286367300265,2.5666045361279116e-05,6.975495603100216,8737650142.184761,1262349857.815239,226436.990915,97159.665346,24.424674,323400.0,0.0,138600.0,138600.0,0.0,66000.0,0.0,33000.0,9107.48335055325,300000.0,True,False
15,1,0,0,ACELERADO,0.0001862403186694314,0.00013128302205986904,2.7766633964053012e-05,6.707342305536211,8653654844.777336,1346345155.2226639,242615.133204,104109.627747,27.914226,346500.0,0.0,148500.0,148500.0,0.0,66000.0,0.0,33000.0,9385.986573535425,300000.0,True,False
16,1,0,0,ACELERADO,0.0001936756624183386,0.00013530835369589934,2.990572458689955e-05,6.47620698356795,8570440494.774731,1429559505.2252693,258793.818458,111060.923018,31.636477,369600.0,0.0,158400.0,158400.0,0.0,66000.0,0.0,33000.0,9669.9566156796,300000.0,True,False
17,1,0,0,ACELERADO,0.00020134246842077932,0.00013956861916202063,3.208388727074728e-05,6.275501055146606,8487999579.399962,1512000420.6000376,274973.046695,118013.551414,35.591435,392700.0,0.0,168300.0,168300.0,0.0,66000.0,0.0,33000.0,9959.314440254699,300000.0,True,False
18,1,0,0,ACELERADO,0.00020924355691335372,0.0001440637764363002,3.430170032531768e-05,6.100092850467635,8406324673.253218,1593675326.7467823,291152.817934,124967.51319,39.779108,415800.0,0.0,178200.0,178200.0,0.0,66000.0,0.0,33000.0,10253.96872362555,300000.0,True,False
19,1,0,0,ACELERADO,0.00021738150233159293,0.00014879395230051263,3.655975044240864e-05,5.945924129707253,8325408438.1396675,1674591561.8603325,307333.132192,131922.808603,44.199504,438900.0,0.0,188100.0,188100.0,0.0,66000.0,0.0,33000.0,10553.815651199937,300000.0,True,False
20,1,0,0,ACELERADO,0.00022575861838850723,0.00015375941462877037,3.885863280964627e-05,5.809741672961405,8245243622.872573,1754756377.127427,323513.989488,138879.437908,48.852631,462000.0,0.0,198000.0,198000.0,0.0,66000.0,0.0,33000.0,10858.73876284153,300000.0,True,False
21,1,0,0,ACELERADO,0.0002343769437888594,0.00015896054554232449,4.1198951222941913e-05,5.688905586954482,8165823063.047659,1834176936.952341,339695.38984,145837.401361,53.738496,485100.0,0.0,207900.0,207900.0,0.0,66000.0,0.0,33000.0,11168.608851458172,300000.0,True,False
22,1,0,0,ACELERADO,0.00024323822870791874,0.00016439781542397573,4.358131819894944e-05,5.5812499199205545,8087139680.784755,1912860319.2152452,355877.333267,152796.699218,58.857107,508200.0,0.0,217800.0,217800.0,0.0,66000.0,0.0,33000.0,11483.283918226158,300000.0,True,False
23,1,0,0,ACELERADO,0.0002523439221638285,0.00017007175779428885,4.600635508621465e-05,5.484979666199222,8009186484.432734,1990813515.5672665,372059.819786,159757.331735,64.208472,531300.0,0.0,227700.0,227700.0,0.0,66000.0,0.0,33000.0,11802.609187605643,300000.0,True,False
24,1,0,0,ACELERADO,0.00026169516041161107,0.00017598294505992253,4.847469217636753e-05,5.398593547731556,7931956568.233886,2068043431.7661142,388242.849416,166719.299168,69.792599,554400.0,0.0,237600.0,237600.0,0.0,66000.0,0.0,33000.0,12126.417184939686,300000.0,True,False
25,1,0,0,ACELERADO,0.0002712927564841474,0.000182131965151808,5.098696881355325e-05,5.320825355910017,7855443111.943975,2144556888.0560246,404426.422175,173682.601773,75.609496,577500.0,0.0,247500.0,247500.0,0.0,66000.0,0.0,33000.0,12454.527879011393,300000.0,True,False
26,1,0,0,ACELERADO,0.0002811371910011436,0.0001885193990775716,5.354383350335435e-05,5.250598857168702,7779639380.404415,2220360619.595585,420610.538081,180647.239806,81.65917,600600.0,0.0,257400.0,257400.0,0.0,66000.0,0.0,33000.0,12786.748891462143,300000.0,True,False
27,1,0,0,ACELERADO,0.0002912286043610895,0.00019514579941844374,5.614594402064607e-05,5.18699274615453,7704538723.063182,2295461276.936818,436795.197153,187613.213523,87.941629,623700.0,0.0,267300.0,267300.0,0.0,66000.0,0.0,33000.0,13122.875774452648,300000.0,True,False
