day,stage,motor_b,throttle,throttle_name,price,ema30,p_kash,price_over_pkash,supply,tokens_burned_total,vault_core_usd,vault_sociedad_usd,r_op_usd,burned_total_usd,recirculated_total_usd,staking_total_usd,om_total_usd,deferred_queue_usd,fee_total_usd,users,buy_pressure,sell_pressure,lp_depth_usd,burn_cap_hit,kash_lock_hit
1,1,0,0,ACELERADO,0.00013000000000000002,0.00010193548387096775,2.4500822259e-06,53.059443730402364,9923076923.076923,76923076.92307663,24500.822259,10502.013698,0.352397,35000.0,0.0,15000.0,15000.0,0.0,100000.0,0.0,50000.0,4000.0,60000.0,True,False
2,1,0,0,ACELERADO,0.00016900000000000002,0.00010626222684703435,4.9382330889767435e-06,34.222766919861755,9846745562.130178,153254437.86982155,49002.466806,21006.041481,1.057203,70000.0,0.0,30000.0,30000.0,0.0,100000.0,0.0,50000.0,5160.000000000001,60000.0,True,False
3,1,0,0,ACELERADO,0.00021970000000000003,0.0001135807928569031,7.464896214206478e-06,29.431085670272005,9771001365.498407,228998634.50159264,73504.933669,31512.083735,2.11443,105000.0,0.0,45000.0,45000.0,0.0,100000.0,0.0,50000.0,6656.4000000000015,60000.0,True,False
4,1,0,0,ACELERADO,0.00028561000000000005,0.0001246794513822642,1.0030519821752243e-05,28.474097561785836,9695839816.533035,304160183.4669647,98008.222875,42020.140846,3.524089,140000.0,0.0,60000.0,60000.0,0.0,100000.0,0.0,50000.0,8586.756000000001,60000.0,True,False
5,1,0,0,ACELERADO,0.0003712930000000001,0.0001405900029059891,1.2635556771688399e-05,29.384775574902257,9621256433.328936,378743566.6710644,122512.334451,52530.213201,5.286193,175000.0,0.0,75000.0,75000.0,0.0,100000.0,0.0,50000.0,11076.915240000002,60000.0,True,False
6,1,0,0,ACELERADO,0.0004826809000000001,0.00016266038336366722,1.5280464609249825e-05,31.588103656731466,9548744759.467384,451255240.53261566,147017.268426,63042.301187,7.400753,210000.0,0.0,90000.0,90000.0,0.0,100000.0,0.0,50000.0,14289.220659600005,60000.0,False,False
7,1,0,0,ACELERADO,0.0006274851700000002,0.0001926490792756887,1.79628871802169e-05,34.93231147669121,9492966548.804653,507033451.19534683,171523.024827,73556.405189,9.867782,245000.0,0.0,105000.0,105000.0,0.0,100000.0,0.0,50000.0,18435.98685748001,60000.0,False,False
8,1,0,0,ACELERADO,0.0008157307210000002,0.00023284789487080558,2.0649983613993025e-05,39.50272969937068,9450060232.910244,549939767.089756,196029.603681,84072.525595,12.687291,280000.0,0.0,120000.0,120000.0,0.0,100000.0,0.0,50000.0,23826.78291472401,60000.0,False,False
9,1,0,0,ACELERADO,0.0010496797599422682,0.0002855467248754161,2.333710046079604e-05,44.97901363991742,9416716730.124285,583283269.8757153,220537.005016,94590.662791,15.859292,315000.0,0.0,135000.0,135000.0,0.0,100000.0,0.0,50000.0,30834.817789141216,60000.0,False,False
10,1,0,0,ACELERADO,0.0012974330190516563,0.0003508297115964639,2.602236383261853e-05,49.8583844033934,9389740385.691813,610259614.3081875,245045.22886,105110.817164,19.383796,350000.0,0.0,150000.0,150000.0,0.0,100000.0,0.0,50000.0,39538.1478268848,60000.0,False,False
11,1,0,0,ACELERADO,0.0015340938209748734,0.00042716933155636133,2.870731928336908e-05,53.43911794173046,9366925614.182102,633074385.8178978,269554.27524,115632.989101,23.260816,385000.0,0.0,165000.0,165000.0,0.0,100000.0,0.0,50000.0,48730.23686687757,60000.0,False,False
12,1,0,0,ACELERADO,0.0017356318225545573,0.0005115862664594708,3.139388058540454e-05,55.285673200957426,9346760047.069784,653239952.9302158,294064.144184,126157.178989,27.490363,420000.0,0.0,180000.0,180000.0,0.0,100000.0,0.0,50000.0,57478.97082499214,60000.0,False,False
13,1,0,0,ACELERADO,0.001888611920073207,0.0006004266312087442,3.408398569297533e-05,55.410536111756656,9328227917.928799,671772082.0712013,318574.83572,136683.387215,32.072449,455000.0,0.0,195000.0,195000.0,0.0,100000.0,0.0,50000.0,64890.13670190339,60000.0,False,False
14,1,0,0,ACELERADO,0.0019936073036786153,0.0006903092552390585,3.677937041135006e-05,54.20449783075654,9310671802.471447,689328197.528553,343086.349875,147211.614165,37.007086,490000.0,0.0,210000.0,210000.0,0.0,100000.0,0.0,50000.0,70469.60975584,60000.0,False,False
15,1,0,0,ACELERADO,0.0020605076933658774,0.0007787091544730468,3.948143533310064e-05,52.18928025239191,9293685697.487375,706314302.5126247,367598.686677,157741.860227,42.294286,525000.0,0.0,225000.0,225000.0,0.0,100000.0,0.0,50000.0,74247.29323024646,60000.0,False,False
16,1,0,0,ACELERADO,0.002101388329772918,0.0008640432948149741,4.2191210130875275e-05,49.806306177388706,9277030042.031355,722969957.9686451,392111.846153,168274.125789,47.934061,560000.0,0.0,240000.0,240000.0,0.0,100000.0,0.0,50000.0,76598.84351758863,60000.0,False,False
17,1,0,0,ACELERADO,0.002126167209902444,0.000945470644175456,4.4909397344128154e-05,47.34348122309946,9260568495.716,739431504.2840004,416625.828331,178808.411237,53.926423,595000.0,0.0,255000.0,255000.0,0.0,100000.0,0.0,50000.0,77978.57066110983,60000.0,False,False
18,1,0,0,ACELERADO,0.0021415704439575857,0.001022638373193658,4.7636452712603397e-05,44.95654739192997,9244225348.985172,755774651.0148277,441140.633238,189344.716959,60.271383,630000.0,0.0,270000.0,270000.0,0.0,100000.0,0.0,50000.0,78758.06832258783,60000.0,False,False
19,1,0,0,ACELERADO,0.002151706364857502,0.0010954814694300351,5.037266437399425e-05,42.71575449894918,9227959188.986935,772040811.0130653,465656.260902,199883.043343,66.968953,665000.0,0.0,285000.0,285000.0,0.0,100000.0,0.0,50000.0,79188.63913868058,60000.0,False,False
20,1,0,0,ACELERADO,0.002158943201376724,0.0011640919037491765,5.311821403978405e-05,40.64412255577223,9211747553.600843,788252446.3991566,490172.711351,210423.390775,74.019145,700000.0,0.0,300000.0,300000.0,0.0,100000.0,0.0,50000.0,79423.43408635384,60000.0,False,False
21,1,0,0,ACELERADO,0.002164603387142753,0.0012286410317100525,5.587321858498058e-05,38.74134051988595,9195578309.753267,804421690.2467327,514689.984612,220965.759644,81.421971,735000.0,0.0,315000.0,315000.0,0.0,100000.0,0.0,50000.0,79550.55901458084,60000.0,False,False
22,1,0,0,ACELERADO,0.0021694127051692007,0.0012893359783848362,5.863775638135671e-05,36.996857298908246,9179444911.107355,820555088.8926449,539208.080713,231510.150337,89.177443,770000.0,0.0,330000.0,330000.0,0.0,100000.0,0.0,50000.0,79619.11982411341,60000.0,False,False
23,1,0,0,ACELERADO,0.0021737657697664236,0.0013463959649255837,6.141188330460772e-05,35.396500690011024,9163343820.324348,836656179.6756516,563726.999682,242056.563242,97.285572,805000.0,0.0,345000.0,345000.0,0.0,100000.0,0.0,50000.0,79656.01766622823,60000.0,False,False
24,1,0,0,ACELERADO,0.0021778760569985626,0.0014000398418335179,6.419564223283486e-05,33.925605870558925,9147273116.995052,852726883.0049477,588246.741546,252604.998747,105.746371,840000.0,0.0,360000.0,360000.0,0.0,100000.0,0.0,50000.0,79675.85253288703,60000.0,False,False
25,1,0,0,ACELERADO,0.0021818587406985585,0.0014504797707925528,6.698906859952801e-05,32.570369857537194,9131231748.529194,868768251.4708061,612767.306333,263155.457239,114.559851,875000.0,0.0,375000.0,375000.0,0.0,100000.0,0.0,50000.0,79686.50843332055,60000.0,False,False
26,1,0,0,ACELERADO,0.002185775870772038,0.0014979182288557455,6.979219360768614e-05,31.318343181168053,9115219127.808096,884780872.1919041,637288.69407,273707.939107,123.726024,910000.0,0.0,390000.0,390000.0,0.0,100000.0,0.0,50000.0,79692.23121549042,60000.0,False,False
