day,stage,motor_b,throttle,throttle_name,price,ema30,p_kash,price_over_pkash,supply,tokens_burned_total,vault_core_usd,vault_sociedad_usd,r_op_usd,burned_total_usd,recirculated_total_usd,staking_total_usd,om_total_usd,deferred_queue_usd,fee_total_usd,users,buy_pressure,sell_pressure,lp_depth_usd,burn_cap_hit,jaguar_lock_hit
1,1,0,0,ACELERADO,0.00012958666666666667,0.0001019088172043011,6.8602302328e-06,18.889550681125744,9922831567.033646,77168432.96635437,68602.302328,29405.638356,0.986712,98000.0,0.0,42000.0,42000.0,0.0,280000.0,0.0,140000.0,4000.0,300000.0,True,False
2,1,0,0,ACELERADO,0.00016775416740503704,0.00010615690431402601,1.3827394543089776e-05,12.132015679618542,9846179720.670748,153820279.32925224,137206.907062,58816.916149,2.960169,196000.0,0.0,84000.0,84000.0,0.0,280000.0,0.0,140000.0,5143.466666666667,300000.0,True,False
3,1,0,0,ACELERADO,0.00021687681907828189,0.00011330012462139737,2.090291058235726e-05,10.375436388334025,9770019544.208307,229980455.79169273,205813.814279,88233.834461,5.920405,294000.0,0.0,126000.0,126000.0,0.0,280000.0,0.0,140000.0,6606.950724645926,300000.0,True,False
4,1,0,0,ACELERADO,0.0002799110204268331,0.00012404921467336097,2.8088277901110103e-05,9.965403411783052,9694320818.311432,305679181.6885681,274423.024057,117656.394374,9.867452,392000.0,0.0,168000.0,168000.0,0.0,280000.0,0.0,140000.0,8475.563044322173,300000.0,True,False
5,1,0,0,ACELERADO,0.0003604890374831296,0.00013930339679012026,3.538510256696355e-05,10.187593403210636,9619046761.392971,380953238.60702896,343034.536473,147084.59697,14.801344,490000.0,0.0,210000.0,210000.0,0.0,280000.0,0.0,140000.0,10854.188930394579,300000.0,True,False
6,1,0,0,ACELERADO,0.0004629945936412028,0.00016018669981277074,4.279512947750632e-05,10.818861849327009,9544152562.710234,455847437.2897663,411648.351604,176518.443331,20.722114,588000.0,0.0,252000.0,252000.0,0.0,280000.0,0.0,140000.0,13870.243634079068,300000.0,True,False
7,1,0,0,ACELERADO,0.0005925922631024985,0.00018808383292823704,5.0320284212914995e-05,11.77640930236253,9469583734.992392,530416265.0076084,480264.469527,205957.934539,27.629795,686000.0,0.0,294000.0,294000.0,0.0,280000.0,0.0,140000.0,17675.564149686677,300000.0,True,False
8,1,0,0,ACELERADO,0.0007551674954171533,0.00022466987566945745,5.7962726312007315e-05,13.028501995440404,9395274365.346418,604725634.6535816,548882.89032,235403.071677,35.52442,784000.0,0.0,336000.0,336000.0,0.0,280000.0,0.0,140000.0,22446.40822463101,300000.0,True,False
9,1,0,0,ACELERADO,0.0009571168837871307,0.00027192452135446865,6.5724915531749e-05,14.562466547785625,9321145427.372175,678854572.6278248,617503.61406,264853.855827,44.406023,882000.0,0.0,378000.0,378000.0,0.0,280000.0,0.0,140000.0,28380.023244942557,300000.0,True,False
10,1,0,0,ACELERADO,0.0012049144579823273,0.00033211742049174986,7.360969165969052e-05,16.368964885124655,9247103443.68055,752896556.3194504,686126.640824,294310.288073,54.274636,980000.0,0.0,420000.0,420000.0,0.0,280000.0,0.0,140000.0,35685.70265909247,300000.0,True,False
