day,stage,motor_b,throttle,throttle_name,price,ema30,p_kash,price_over_pkash,supply,tokens_burned_total,vault_core_usd,vault_sociedad_usd,r_op_usd,burned_total_usd,recirculated_total_usd,staking_total_usd,om_total_usd,deferred_queue_usd,fee_total_usd,users,buy_pressure,sell_pressure,lp_depth_usd,burn_cap_hit,kash_lock_hit
1,1,0,1,NORMAL,0.0001182,0.00010117419354838712,4.900164452e-06,24.1216394179907,9407783417.935701,592216582.0642986,49001.64452,21004.027397,0.704794,70000.0,0.0,30000.0,30000.0,0.0,200000.0,0.0,100000.0,4000.0,300000.0,False,False
2,1,0,0,ACELERADO,0.00013965062079999998,0.00010365654369365246,1.0417430893249101e-05,13.405476093966604,8906532513.363998,1093467486.6360016,98004.933615,42012.082963,2.114406,140000.0,0.0,60000.0,60000.0,0.0,200000.0,0.0,100000.0,4448.0,300000.0,False,False
3,1,0,0,ACELERADO,0.00016490814679800278,0.0001076082600229654,1.6505847491199958e-05,9.99089243287405,8482053787.7268505,1517946212.2731495,147009.867341,63024.167472,4.22886,210000.0,0.0,90000.0,90000.0,0.0,200000.0,0.0,100000.0,4975.2111786666665,300000.0,False,False
4,1,0,0,ACELERADO,0.00019461455541912298,0.00011322156940336267,2.310954995800981e-05,8.421390973547249,8122368460.751961,1877631539.2480392,196016.445754,84040.281695,7.048179,280000.0,0.0,120000.0,120000.0,0.0,200000.0,0.0,100000.0,5595.03908470006,300000.0,False,False
5,1,0,0,ACELERADO,0.00022950698376499555,0.00012072385420088738,3.016665275553331e-05,7.607969821010331,7817366848.811137,2182633151.188863,245024.668908,105060.426406,10.572387,350000.0,0.0,150000.0,150000.0,0.0,200000.0,0.0,100000.0,6322.924507758196,300000.0,False,False
6,1,0,0,ACELERADO,0.00027042670468168203,0.00013038210261900318,3.7612989456125715e-05,7.189715802758132,7558516673.188147,2441483326.8118534,294034.536859,126084.602378,14.801508,420000.0,0.0,180000.0,180000.0,0.0,200000.0,0.0,100000.0,7176.5611458204485,300000.0,False,False
7,1,0,0,ACELERADO,0.0003183268147864154,0.00014250756792012656,4.538536653333925e-05,7.013864580174282,7338616882.317663,2661383117.682337,343046.049661,147112.810383,19.735566,490000.0,0.0,210000.0,210000.0,0.0,200000.0,0.0,100000.0,8176.099024847283,300000.0,False,False
8,1,0,0,ACELERADO,0.00037427751682747265,0.00015746046784963276,5.342412795995162e-05,7.005776811332188,7151589885.362708,2848410114.637292,392059.20737,168145.051195,25.374584,560000.0,0.0,240000.0,240000.0,0.0,200000.0,0.0,100000.0,9344.314148343985,300000.0,False,False
9,1,0,0,ACELERADO,0.00043946748918071636,0.00017565446922583172,6.167495859120143e-05,7.125541698270567,6992306202.898509,3007693797.101491,441074.010041,189181.325588,31.718586,630000.0,0.0,270000.0,270000.0,0.0,200000.0,0.0,100000.0,10706.717214648095,300000.0,False,False
10,1,0,0,ACELERADO,0.0005151993867498531,0.0001975605929370589,7.008995937947392e-05,7.350544804292339,6856436475.953381,3143563524.0466194,490090.45773,210221.634335,38.767595,700000.0,0.0,300000.0,300000.0,0.0,200000.0,0.0,100000.0,12291.565002282226,300000.0,False,False
11,1,0,0,ACELERADO,0.0006028770408606093,0.0002237100411901912,7.862809673534348e-05,7.667450515683345,6740326564.220675,3259673435.7793245,539108.550491,231265.97821,46.521635,770000.0,0.0,330000.0,330000.0,0.0,200000.0,0.0,100000.0,14129.727470802023,300000.0,False,False
12,1,0,0,ACELERADO,0.0007039814832050662,0.00025469529551373153,8.725516230948376e-05,8.068078318485354,6640892130.6879835,3359107869.3120165,588128.28838,252314.357986,54.98073,840000.0,0.0,360000.0,360000.0,0.0,200000.0,0.0,100000.0,16254.352533886075,300000.0,False,False
13,1,0,0,ACELERADO,0.0008200326168682385,0.00029116867108499006,9.594338515268016e-05,8.547046944020934,6555529672.463657,3444470327.5363426,637149.671452,273366.774438,64.144903,910000.0,0.0,390000.0,390000.0,0.0,200000.0,0.0,100000.0,18700.260367866318,300000.0,False,False
