day,stage,motor_b,throttle,throttle_name,price,ema30,p_kash,price_over_pkash,supply,tokens_burned_total,vault_core_usd,vault_sociedad_usd,r_op_usd,burned_total_usd,recirculated_total_usd,staking_total_usd,om_total_usd,deferred_queue_usd,fee_total_usd,users,buy_pressure,sell_pressure,lp_depth_usd,burn_cap_hit,kash_lock_hit
1,1,0,0,ACELERADO,0.00012566666666666667,0.00010165591397849464,6.8602302328e-06,18.31814128712935,9920424403.183023,79575596.81697655,68602.302328,29405.638356,0.986712,98000.0,0.0,42000.0,42000.0,0.0,280000.0,0.0,140000.0,4000.0,300000.0,True,False
2,1,0,0,ACELERADO,0.0001577764548148148,0.00010527659403245079,1.3830749722559896e-05,11.407657428538329,9841409656.139181,158590343.86081886,137206.907062,58816.916149,2.960169,196000.0,0.0,84000.0,84000.0,0.0,280000.0,0.0,140000.0,4986.666666666666,300000.0,True,False
3,1,0,0,ACELERADO,0.00019786543254125133,0.00011125006748463147,2.0913042081386283e-05,9.46134148113067,9762934972.310705,237065027.68929482,205813.814279,88233.834461,5.920405,294000.0,0.0,126000.0,126000.0,0.0,280000.0,0.0,140000.0,6210.970903703703,300000.0,True,False
4,1,0,0,ACELERADO,0.00024779054412776803,0.00012005913049386609,2.8108660442306437e-05,8.815451900895912,9684976091.4354,315023908.5646,274423.024057,117656.394374,9.867452,392000.0,0.0,168000.0,168000.0,0.0,280000.0,0.0,140000.0,7726.98940467347,300000.0,True,False
5,1,0,0,ACELERADO,0.00030977139756104216,0.00013229863159497422,3.541924453240021e-05,8.745849936965053,9607504591.017473,392495408.9825268,343034.536473,147084.59697,14.801344,490000.0,0.0,210000.0,210000.0,0.0,280000.0,0.0,140000.0,9599.381982244806,300000.0,True,False
6,1,0,0,ACELERADO,0.0003864226961800934,0.00014869373253594969,4.2846542273721135e-05,9.01876034036698,9530487113.688797,469512886.311203,411648.351604,176518.443331,20.722114,588000.0,0.0,252000.0,252000.0,0.0,280000.0,0.0,140000.0,11904.520496934445,300000.0,True,False
7,1,0,0,ACELERADO,0.0004807666186868589,0.0001701177897069761,5.039243679761007e-05,9.540451886019131,9453884529.748167,546115470.251833,480264.469527,205957.934539,27.629795,686000.0,0.0,294000.0,294000.0,0.0,280000.0,0.0,140000.0,14731.186105525047,300000.0,True,False
8,1,0,0,ACELERADO,0.0005962096502189399,0.00019760758715936088,5.8058979733976204e-05,10.269034229515354,9377651075.67452,622348924.3254795,548882.89032,235403.071677,35.52442,784000.0,0.0,336000.0,336000.0,0.0,280000.0,0.0,140000.0,18180.448395292125,300000.0,True,False
9,1,0,0,ACELERADO,0.0007364630725810341,0.0002323724571865656,6.58484314544177e-05,11.184215877500991,9301733541.233742,698266458.7662582,617503.61406,264853.855827,44.406023,882000.0,0.0,378000.0,378000.0,0.0,280000.0,0.0,140000.0,22364.184270812686,300000.0,True,False
10,1,0,0,ACELERADO,0.0009053818354493484,0.0002757924170744871,7.376330850399689e-05,12.274148947647731,9226070622.05548,773929377.944521,686126.640824,294310.288073,54.274636,980000.0,0.0,420000.0,420000.0,0.0,280000.0,0.0,140000.0,27401.53305642826,300000.0,True,False
11,1,0,0,ACELERADO,0.00110669540761489,0.0003293990616254809,8.180643760581237e-05,13.528219049795892,9150592611.608284,849407388.391716,754751.97069,323772.369498,65.130292,1078000.0,0.0,462000.0,462000.0,0.0,280000.0,0.0,140000.0,33412.4670151276,300000.0,True,False
12,1,0,0,ACELERADO,0.0013436105395639834,0.0003948320602021585,8.998101420125237e-05,14.932155983026059,9077654809.236027,922345190.7639732,823379.603735,353240.101185,76.973025,1176000.0,0.0,504000.0,504000.0,0.0,280000.0,0.0,140000.0,40507.67528088653,300000.0,False,False
13,1,0,0,ACELERADO,0.0016182643935490984,0.00047376317848260623,9.82643159253454e-05,16.468484803563346,9017096101.777185,982903898.2228146,892009.540036,382713.484218,89.802868,1274000.0,0.0,546000.0,546000.0,0.0,280000.0,0.0,140000.0,48787.33070485283,300000.0,False,False
14,1,0,0,ACELERADO,0.0019309731455621243,0.000567776724745801,0.0001065356040156505,18.125143827771012,8966344489.707785,1033655510.2922153,960641.77967,412192.51968,103.619854,1372000.0,0.0,588000.0,588000.0,0.0,280000.0,0.0,140000.0,58368.18221886558,300000.0,False,False
15,1,0,0,ACELERADO,0.0022795828075002017,0.0006782158268589882,0.00011479330555461898,19.858151104600516,8923354167.234056,1076645832.7659435,1029276.322715,441677.208656,118.424016,1470000.0,0.0,630000.0,630000.0,0.0,280000.0,0.0,140000.0,69255.08169393864,300000.0,False,False
16,1,0,0,ACELERADO,0.00265891956078886,0.0008060031645318832,0.00012303817025210786,21.610525866409397,8886497091.358122,1113502908.6418781,1097913.169248,471167.55223,134.215387,1568000.0,0.0,672000.0,672000.0,0.0,280000.0,0.0,140000.0,81366.09897944814,300000.0,False,False
17,1,0,0,ACELERADO,0.0030605947985420496,0.0009514606893067328,0.00013127245835498451,23.314828082716687,8854477171.554728,1145522828.4452724,1166552.319347,500663.551486,150.994,1666000.0,0.0,714000.0,714000.0,0.0,280000.0,0.0,140000.0,94513.92377242168,300000.0,False,False
18,1,0,0,ACELERADO,0.003473367491582982,0.0011141643539697168,0.00013949934582880815,24.898808456388426,8826262477.820913,1173737522.1790867,1235193.773088,530165.207509,168.759889,1764000.0,0.0,756000.0,756000.0,0.0,280000.0,0.0,140000.0,108399.86710027888,300000.0,False,False
19,1,0,0,ACELERADO,0.00388415578259302,0.0012928734783970266,0.00014772249679027223,26.293596892743544,8801031769.918005,1198968230.081995,1303837.53055,559672.521384,187.513087,1862000.0,0.0,798000.0,798000.0,0.0,280000.0,0.0,140000.0,122627.41265056728,300000.0,False,False
20,1,0,0,ACELERADO,0.004279583429634264,0.0014855644429929774,0.00015594576041642747,27.44276867935583,8778132344.866167,1221867655.133833,1372483.591809,589185.494196,207.253626,1960000.0,0.0,840000.0,840000.0,0.0,280000.0,0.0,140000.0,136738.3137676476,300000.0,False,False
21,1,0,0,ACELERADO,0.004647721047622008,0.0016895745465174312,0.00016417295847502648,28.309906155032262,8757046742.05226,1242953257.9477406,1441131.956942,618704.12703,227.98154,2058000.0,0.0,882000.0,882000.0,0.0,280000.0,0.0,140000.0,150266.99890490327,300000.0,False,False
22,1,0,0,ACELERADO,0.0049795615967843775,0.0019018317755669116,0.0001724077386474215,28.882471493740287,8737366294.66844,1262633705.3315601,1509782.626027,648228.420972,249.696862,2156000.0,0.0,924000.0,924000.0,0.0,280000.0,0.0,140000.0,162801.24183218408,300000.0,False,False
23,1,0,0,ACELERADO,0.00526984422513827,0.002119122901345709,0.00018065347679256218,29.171009153559996,8718769919.555012,1281230080.4449883,1578435.599142,677758.377107,272.399625,2254000.0,0.0,966000.0,966000.0,0.0,280000.0,0.0,140000.0,174033.01463187672,300000.0,False,False
24,1,0,0,ACELERADO,0.005517084534810565,0.0023383462325369904,0.00018891321729568752,29.204333152482434,8701006914.587141,1298993085.412859,1647090.876364,707293.996521,296.089863,2352000.0,0.0,1008000.0,1008000.0,0.0,280000.0,0.0,140000.0,183786.23724350493,300000.0,False,False
25,1,0,0,ACELERADO,0.005722947795728337,0.0025567076237106258,0.00019718964421147246,29.022557541565753,8683882872.310686,1316117127.689314,1715748.457769,736835.280301,320.767608,2450000.0,0.0,1050000.0,1050000.0,0.0,280000.0,0.0,140000.0,192016.762742994,300000.0,False,False
